month,new_logo_factor,source_type,source
1,0.90,judgment,"New-logo seasonality index (mean 1.00). Own judgment from a typical B2B calendar: slow January, strong quarter-ends, soft summer, strong December."
2,0.95,judgment,see month 1
3,1.10,judgment,see month 1
4,0.95,judgment,see month 1
5,1.00,judgment,see month 1
6,1.10,judgment,see month 1
7,0.85,judgment,see month 1
8,0.85,judgment,see month 1
9,1.05,judgment,see month 1
10,1.05,judgment,see month 1
11,1.00,judgment,see month 1
12,1.20,judgment,see month 1
